id,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_verifications_identity_manual,host_verifications_selfie,host_verifications_jumio,host_verifications_reviews,host_verifications_phone,host_verifications_offline_government_id,host_verifications_email,host_verifications_government_id,amenities_Dryer,amenities_Shampoo,amenities_Bed_linens,amenities_Hot_water,amenities_Microwave,amenities_Dedicated_workspace,amenities_Washer,amenities_Hair_dryer,amenities_Carbon_monoxide_alarm,amenities_Air_conditioning,amenities_Long_term_stays_allowed,amenities_Free_parking_on_premises,amenities_Fire_extinguisher,amenities_Wifi,amenities_Stove,amenities_Free_street_parking,amenities_Essentials,amenities_Bathtub,amenities_First_aid_kit,amenities_Coffee_maker,amenities_Extra_pillows_and_blankets,amenities_Hangers,amenities_Oven,amenities_Refrigerator,amenities_Heating,amenities_Cooking_basics,amenities_Iron,amenities_TV,amenities_Dishwasher,amenities_Smoke_alarm,amenities_Dishes_and_silverware,amenities_Kitchen,amenities_Private_entrance,bathrooms_type,distance_to_CBD,host_in_same_neighbourhood,host_year,description_words_count,occu_rate_oct,occu_rate_nov,occu_rate_dec,occu_rate_jan,occu_rate_feb,occu_rate_mar,occu_rate_apr,occu_rate_may,occu_rate_jun,occu_rate_jul,occu_rate_aug,occu_rate_sep,occu_rate_q1,occu_rate_q2,occu_rate_q3,occu_rate_q4,occu_rate_year
50620728,1517250,within an hour,1.0,0.95,0,1.0,0,Lincoln Square,41.9631,-87.68138,Entire rental unit,Entire home/apt,2,1,1.0,1.0,150.0,2,7,2,2,1125,1125,2.0,1125.0,0,0,0,0,0,2021-10-19,14,14,3,30_days,4.77,4.92,4.77,4.92,5.0,5.0,4.69,1,1,1,0,0,3.89,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,private,9.8277,1,10,1000,0.5806451612903226,0.0,0.0,0.5161290322580645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.1956521739130435,0.7561643835616438
50630514,107434423,within an hour,1.0,0.98,0,1987.0,0,Near West Side,41.885921,-87.644073,Entire rental unit,Entire home/apt,2,1,1.0,1.0,117.0,30,1125,32,730,1125,1125,704.3,1125.0,0,0,25,55,330,2021-10-18,0,0,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,313,313,0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,private,1.1827,0,5,1000,0.45161290322580644,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3804347826086957,0.0958904109589041
50630534,107434423,within an hour,1.0,0.98,0,1987.0,0,Near West Side,41.885921,-87.644073,Entire rental unit,Entire home/apt,2,1,1.0,1.0,123.0,30,1125,32,730,1125,1125,707.6,1125.0,0,0,0,0,271,2021-10-18,0,0,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,313,313,0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,private,1.1827,0,5,1000,0.45161290322580644,1.0,1.0,0.6129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2111111111111111,0.0,0.0,0.8152173913043478,0.25753424657534246
50630606,107434423,within an hour,1.0,0.98,0,1987.0,0,Near North Side,41.892502,-87.61628,Entire rental unit,Entire home/apt,2,1,1.0,1.0,101.0,30,1125,32,730,1125,1125,711.8,1125.0,0,0,9,39,314,2021-10-19,0,0,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,313,313,0,0,0.0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,private,1.7705,0,5,1000,0.41935483870967744,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5543478260869565,0.13972602739726028
50632700,107434423,within an hour,1.0,0.98,0,1987.0,0,Near North Side,41.892502,-87.61628,Entire rental unit,Entire home/apt,4,1,2.0,2.0,160.0,30,1125,32,730,1125,1125,703.9,1125.0,0,0,25,55,330,2021-10-19,0,0,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,313,313,0,0,0.0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,private,1.7705,0,5,1000,0.41935483870967744,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3804347826086957,0.0958904109589041
50633147,107434423,within an hour,1.0,0.98,0,1987.0,0,Near North Side,41.892502,-87.61628,Entire rental unit,Entire home/apt,2,1,1.0,1.0,110.0,30,1125,32,730,1125,1125,704.1,1125.0,0,0,18,48,323,2021-10-19,0,0,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,313,313,0,0,0.0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,private,1.7705,0,5,1000,0.41935483870967744,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45652173913043476,0.11506849315068493
50635955,409108758,within an hour,1.0,1.0,0,1.0,0,Humboldt Park,41.90017,-87.72308,Entire rental unit,Entire home/apt,2,1,1.0,1.0,92.0,1,15,2,2,1125,1125,2.0,1125.0,0,0,0,0,0,2021-10-18,12,12,0,30_days,3.67,3.83,3.92,4.33,4.58,3.08,3.92,1,1,1,0,0,4.44,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,private,5.7263,1,0,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50636773,30291085,within an hour,0.91,0.89,0,0.0,0,North Center,41.94684,-87.68585,Entire condominium (condo),Entire home/apt,5,1,2.0,3.0,128.0,2,150,2,2,150,150,2.0,150.0,0,22,48,76,255,2021-10-19,12,12,6,30_days,4.83,4.83,4.75,5.0,5.0,4.83,4.83,1,1,1,0,0,3.83,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,private,8.2021,1,6,1000,0.7096774193548387,0.26666666666666666,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.5483870967741935,1.0,1.0,0.011111111111111112,0.0,0.8478260869565217,0.33695652173913043,0.3013698630136986
50637985,12904658,None,0.0,0.0,0,0.0,0,Lake View,41.9461,-87.64993,Entire condominium (condo),Entire home/apt,4,1,2.0,2.0,184.0,2,28,2,3,28,28,2.0,28.0,0,21,51,81,81,2021-10-18,10,10,4,30_days,4.7,4.6,4.7,4.8,4.8,5.0,4.6,1,1,1,0,0,3.8,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,private,7.6365,0,7,533,0.8387096774193549,0.0,0.0,0.5161290322580645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.2826086956521739,0.7780821917808219
50638737,409137639,None,0.0,0.8,0,0.0,0,Irving Park,41.94426,-87.73662,Entire rental unit,Entire home/apt,4,1,2.0,2.0,105.0,1,7,2,2,7,7,2.0,7.0,0,0,0,0,0,2021-10-18,4,4,0,30_days,4.75,4.75,4.75,5.0,5.0,4.75,5.0,1,1,1,0,0,1.13,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,private,9.2969,1,0,513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50639536,328887439,within a day,0.75,0.99,0,0.0,0,Logan Square,41.92899,-87.72182,Entire rental unit,Entire home/apt,2,1,1.0,1.0,129.0,1,365,2,2,365,365,2.0,365.0,0,9,39,69,343,2021-10-19,10,10,3,30_days,4.8,4.9,4.9,5.0,5.0,4.7,4.5,1,3,3,0,0,3.75,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,private,7.5314,1,1,225,0.41935483870967744,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2391304347826087,0.06027397260273973
50641075,177188450,within an hour,1.0,0.9,0,6.0,0,Near North Side,41.89039,-87.63844,Entire serviced apartment,Entire home/apt,4,1,2.0,2.0,197.0,32,365,32,32,365,365,32.0,365.0,0,1,31,61,336,2021-10-18,1,1,0,30_days,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,16,16,0,0,0.42,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,private,1.4496,0,3,1000,0.45161290322580644,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31521739130434784,0.07945205479452055
50641249,177188450,within an hour,1.0,0.9,0,6.0,0,Near North Side,41.89034,-87.63711,Entire serviced apartment,Entire home/apt,4,1,1.0,1.0,180.0,32,365,32,32,365,365,32.0,365.0,0,29,59,89,364,2021-10-18,1,1,0,30_days,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1,16,16,0,0,0.58,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,private,1.4211,0,3,1000,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0027397260273972603
50641400,177188450,within an hour,1.0,0.9,0,6.0,0,Near North Side,41.89045,-87.63878,Entire serviced apartment,Entire home/apt,4,1,1.0,1.0,150.0,32,365,32,32,365,365,32.0,365.0,0,29,59,89,364,2021-10-18,0,0,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16,16,0,0,0.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,private,1.4623,0,3,1000,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0027397260273972603
50641868,97416998,within an hour,1.0,1.0,0,2.0,0,Portage Park,41.96042,-87.75059,Entire rental unit,Entire home/apt,4,1,1.0,1.0,120.0,1,1125,2,2,1125,1125,2.0,1125.0,0,1,24,54,329,2021-10-19,5,5,1,30_days,3.8,3.8,5.0,3.8,4.2,5.0,4.8,1,2,2,0,0,1.49,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,private,11.1254,1,5,863,0.3870967741935484,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391304347826087,0.09863013698630137
50644291,382098370,within an hour,1.0,1.0,0,0.0,0,Near West Side,41.86731,-87.68622,Entire rental unit,Entire home/apt,4,1,1.0,1.0,92.0,32,90,32,32,1125,1125,32.0,1125.0,0,12,12,27,301,2021-10-19,2,2,1,30_days,4.5,4.5,5.0,5.0,3.5,3.0,4.0,1,1,1,0,0,1.13,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,private,3.4352,1,1,936,0.06451612903225806,1.0,1.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.6847826086956522,0.17534246575342466
50645366,37194479,within a few hours,1.0,1.0,0,19.0,0,Norwood Park,41.9956,-87.78763,Private room in residential home,Private room,1,1,1.0,1.0,30.0,1,365,2,2,1125,1125,2.0,1125.0,0,0,0,0,0,2021-10-18,1,1,0,30_days,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,1,0,0.39,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,shared,15.2963,1,6,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50652021,23010395,within a day,0.5,0.33,0,1.0,0,Lower West Side,41.85531,-87.65532,Private room in serviced apartment,Private room,2,1,1.0,0.0,58.0,1,365,2,2,365,365,2.0,365.0,0,17,47,77,351,2021-10-19,2,2,0,30_days,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,1,0,0.77,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,shared,2.9298,1,7,504,0.45161290322580644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15217391304347827,0.038356164383561646
50662837,161781533,within an hour,1.0,1.0,0,4.0,0,Albany Park,41.9624,-87.70554,Entire condominium (condo),Entire home/apt,4,1,2.0,2.0,102.0,2,31,2,2,1125,1125,2.0,1125.0,0,20,40,58,147,2021-10-19,10,10,2,30_days,5.0,5.0,4.9,4.9,5.0,4.8,4.9,1,2,2,0,0,3.03,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,private,10.1747,1,4,816,0.8709677419354839,0.36666666666666664,0.3548387096774194,0.03225806451612903,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.011111111111111112,0.8351648351648352,1.0,0.532608695652174,0.5972602739726027
50677599,125651621,within an hour,0.9,0.96,0,2.0,0,South Shore,41.76292,-87.59051,Private room in residential home,Private room,2,1,1.0,1.0,60.0,1,1125,2,2,1125,1125,2.0,1125.0,0,0,0,16,291,2021-10-19,2,2,0,30_days,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,2,0,2,0,0.59,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,shared,13.0343,1,4,746,0.41935483870967744,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8043478260869565,0.20273972602739726
50678129,143937691,within an hour,1.0,0.99,0,5.0,0,Hyde Park,41.80029,-87.59894,Entire residential home,Entire home/apt,9,1,5.0,6.0,543.0,2,1125,2,4,1125,1125,2.1,1125.0,0,24,54,84,354,2021-10-18,0,0,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1,5,0,0.0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,private,8.8484,1,4,505,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.054945054945054944,0.0,0.06521739130434782,0.030136986301369864
50679697,105135679,within a few hours,1.0,1.0,0,1.0,0,Lower West Side,41.85725,-87.68536,Entire rental unit,Entire home/apt,2,1,2.0,2.0,80.0,28,1125,28,28,1125,1125,28.0,1125.0,0,0,24,54,329,2021-10-18,1,1,0,30_days,4.0,5.0,4.0,5.0,5.0,3.0,4.0,1,3,1,2,0,0.45,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,private,3.9483,1,5,598,0.45161290322580644,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391304347826087,0.09863013698630137
50697222,401777272,within an hour,1.0,1.0,0,4.0,0,Bridgeport,41.84673,-87.6478,Private room in guest suite,Private room,2,1,1.0,1.0,55.0,1,365,2,2,1125,1125,2.0,1125.0,0,28,58,88,177,2021-10-19,11,11,4,30_days,4.45,4.55,4.45,5.0,4.91,4.18,4.36,1,6,0,6,0,4.58,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,shared,3.6411,1,0,433,0.6451612903225806,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.8351648351648352,1.0,0.21739130434782608,0.5150684931506849
