host_response_rate,bathrooms,bedrooms,price,review_scores_rating,host_verifications_identity_manual,host_verifications_selfie,host_verifications_jumio,host_verifications_reviews,host_verifications_phone,host_verifications_offline_government_id,host_verifications_email,host_verifications_government_id,Verification_Numbers
1,1,1,106,4.33,0,0,0,1,1,0,1,0,3
1,1,1,111,4.96,0,0,0,1,1,0,1,0,3
0,1,1,200,4.94,0,0,1,1,1,0,1,1,5
1,1,1,163,4.6,0,0,0,1,1,0,1,0,3
1,1,1,52,4.77,0,0,1,1,1,1,1,1,6
1,1,1,51,4.84,0,0,1,1,1,1,1,1,6
0.5,1,3,150,4.62,0,0,1,1,1,1,1,1,6
0,1,1,105,5,0,0,0,1,1,0,1,0,3
1,1,1,139,4.8,0,0,1,1,1,0,1,1,5
0,0,2,356,4.91,0,0,1,1,1,0,1,1,5
1,1,1,133,4.69,0,0,0,1,1,0,1,0,3
0,1,1,143,4.83,0,0,1,1,1,0,1,1,5
0,1,3,595,4.89,0,0,1,1,1,0,1,1,5
0,1,1,188,4.97,0,0,1,1,1,0,1,1,5
1,1,1,105,4.91,0,0,1,1,1,0,1,1,5
1,1,1,50,4.71,0,0,1,1,1,0,1,1,5
1,1,2,105,4.83,0,0,0,1,1,0,1,0,3
0.5,1,1,99,4.37,0,0,1,1,1,0,1,1,5
0,1,1,50,4.57,0,0,0,1,1,0,1,0,3
0,1,3,595,4.95,0,0,1,1,1,0,1,1,5
1,1,2,250,4.97,0,0,1,1,1,1,1,1,6
1,1,1,76,4.89,0,0,1,1,1,1,1,1,6
1,1,1,84,4.93,0,0,0,1,1,0,1,0,3
1,1,3,150,5,1,1,1,1,1,0,1,1,7
1,1,1,53,4.94,0,0,1,1,1,0,1,1,5
1,1,1,47,4.91,0,0,1,1,1,0,1,1,5
1,1,1,114,4.87,0,0,1,1,1,1,1,1,6
0,1,1,179,4.92,0,0,0,1,1,0,1,0,3
1,1,2,150,4.88,0,0,0,1,1,0,1,0,3
1,1,1,25,4.58,0,0,1,1,1,1,1,1,6
1,1,1,70,4.88,0,0,0,1,1,0,1,0,3
1,1,2,104,4.75,0,0,0,1,1,0,1,0,3
1,1,1,149,4.61,0,0,1,1,1,0,1,1,5
1,1,1,159,4.77,0,0,1,1,1,0,1,1,5
1,1,2,181,4.94,0,0,1,1,1,1,1,1,6
1,1,3,175,4.8,0,0,1,1,1,0,1,1,5
0,1,1,155,4.97,0,0,0,1,1,0,1,0,3
1,1,1,56,4.88,1,1,0,1,1,1,1,1,7
1,1,2,198,4.53,0,0,0,1,1,0,1,0,3
1,1,1,400,4.44,1,1,0,1,1,1,1,1,7
